age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
55,admin.,1662,no,no,cellular,jun,2,-1,unknown,yes
39,self-employed,-3058,yes,yes,cellular,apr,3,-1,unknown,yes
51,admin.,3025,no,no,cellular,may,1,352,other,yes
38,services,-87,yes,no,cellular,may,1,-1,unknown,no
36,housemaid,205,yes,no,telephone,nov,4,-1,unknown,no
41,admin.,-76,yes,no,cellular,apr,1,-1,unknown,no
37,admin.,4803,no,no,cellular,jan,2,-1,unknown,yes
36,technician,911,yes,yes,cellular,may,2,21,failure,yes
35,management,805,no,no,cellular,sep,1,-1,unknown,no
57,housemaid,0,no,no,unknown,jun,1,-1,unknown,no
23,student,1234,no,no,cellular,feb,1,91,success,yes
33,housemaid,1107,yes,no,cellular,mar,1,-1,unknown,yes
31,management,1170,no,no,cellular,aug,4,-1,unknown,no
53,services,341,no,no,cellular,apr,2,-1,unknown,yes
30,management,4808,no,no,cellular,mar,1,-1,unknown,yes
38,technician,88,no,no,cellular,nov,2,186,success,yes
39,blue-collar,169,yes,no,unknown,may,1,-1,unknown,no
30,services,0,no,no,cellular,jan,1,-1,unknown,no
31,technician,863,yes,no,cellular,feb,1,263,success,no
46,management,242,no,no,cellular,aug,2,96,success,yes
48,services,2597,yes,no,cellular,may,2,355,failure,no
57,management,4929,yes,no,telephone,jul,4,-1,unknown,no
25,student,277,no,no,cellular,may,2,-1,unknown,yes
35,management,0,yes,no,cellular,nov,2,96,success,yes
38,entrepreneur,1438,no,no,cellular,nov,5,-1,unknown,no
29,blue-collar,15,no,no,cellular,jun,1,-1,unknown,no
28,student,3733,yes,no,cellular,aug,5,91,success,no
52,admin.,204,no,no,cellular,aug,2,-1,unknown,no
49,technician,1684,no,yes,cellular,jun,2,-1,unknown,yes
44,blue-collar,1025,yes,no,unknown,jun,1,-1,unknown,no
31,blue-collar,55,yes,yes,cellular,apr,2,-1,unknown,no
28,housemaid,19,no,no,cellular,apr,1,-1,unknown,yes
33,technician,348,yes,no,cellular,may,2,294,success,no
28,admin.,785,yes,no,unknown,may,2,-1,unknown,yes
42,management,742,yes,no,unknown,may,3,-1,unknown,no
27,services,511,yes,no,unknown,jun,5,-1,unknown,no
47,management,6651,no,no,cellular,jul,1,412,failure,yes
64,retired,1612,no,no,cellular,may,1,89,failure,yes
37,entrepreneur,555,no,no,cellular,jul,2,-1,unknown,no
26,services,54,yes,no,unknown,may,1,-1,unknown,no
25,admin.,1185,no,no,cellular,oct,1,114,failure,yes
38,housemaid,110,no,no,cellular,may,1,-1,unknown,no
34,blue-collar,0,yes,no,cellular,may,1,-1,unknown,no
57,technician,950,yes,no,cellular,jul,1,-1,unknown,no
56,management,412,no,no,telephone,nov,6,-1,unknown,no
32,services,228,yes,no,cellular,jul,6,-1,unknown,yes
32,technician,367,yes,no,cellular,may,2,276,failure,no
32,services,3993,no,no,cellular,may,2,-1,unknown,yes
33,management,2599,no,no,cellular,apr,2,-1,unknown,yes
29,admin.,3528,no,no,cellular,oct,1,-1,unknown,yes
33,management,32,no,no,cellular,aug,7,-1,unknown,no
47,management,551,no,no,cellular,oct,1,-1,unknown,yes
58,management,3161,no,no,telephone,jul,2,-1,unknown,yes
31,management,533,no,no,cellular,nov,3,93,success,yes
45,unemployed,8725,no,no,cellular,jul,2,-1,unknown,no
54,retired,349,yes,no,cellular,may,2,175,failure,no
32,self-employed,514,yes,no,cellular,jul,1,-1,unknown,yes
32,technician,2688,no,no,cellular,oct,1,57,failure,yes
44,management,0,yes,no,unknown,may,1,-1,unknown,no
50,admin.,-194,yes,no,cellular,apr,2,-1,unknown,no
45,blue-collar,154,yes,no,unknown,may,1,-1,unknown,yes
46,technician,874,no,no,cellular,nov,3,-1,unknown,yes
44,blue-collar,2,no,yes,telephone,jul,2,-1,unknown,no
37,technician,5953,no,no,cellular,aug,1,-1,unknown,no
57,retired,1269,no,no,cellular,aug,1,-1,unknown,yes
31,services,-327,yes,no,unknown,may,1,-1,unknown,no
37,self-employed,235,yes,no,cellular,apr,4,323,failure,no
51,services,7,yes,no,cellular,jul,30,-1,unknown,no
79,retired,2661,no,no,cellular,nov,5,-1,unknown,yes
65,retired,1948,no,no,cellular,feb,2,-1,unknown,no
56,services,0,no,no,cellular,aug,4,-1,unknown,no
31,unemployed,20,no,no,telephone,nov,1,-1,unknown,no
26,student,502,yes,no,telephone,may,1,-1,unknown,no
40,management,193,no,no,cellular,aug,6,-1,unknown,no
35,technician,13658,yes,no,telephone,dec,2,-1,unknown,no
50,services,1716,yes,no,cellular,apr,1,-1,unknown,no
36,student,172,no,no,unknown,jun,1,-1,unknown,no
24,student,1234,no,no,cellular,jul,1,156,success,yes
58,services,1667,yes,yes,unknown,may,1,-1,unknown,no
34,blue-collar,157,yes,no,cellular,jul,2,-1,unknown,no
39,technician,8,no,yes,cellular,nov,2,96,failure,no
45,services,0,no,no,unknown,jun,6,-1,unknown,no
35,self-employed,951,yes,no,cellular,nov,2,-1,unknown,no
57,retired,427,no,no,cellular,jan,1,-1,unknown,no
42,admin.,241,yes,no,cellular,may,3,-1,unknown,yes
25,student,469,no,no,cellular,aug,1,86,other,yes
60,retired,2060,no,no,cellular,jun,4,95,failure,no
33,blue-collar,19,yes,no,cellular,feb,1,271,other,no
44,management,7177,no,no,unknown,jun,2,-1,unknown,no
28,technician,655,yes,no,unknown,may,2,-1,unknown,no
32,technician,-114,no,no,cellular,aug,2,-1,unknown,no
37,technician,588,yes,no,cellular,aug,4,-1,unknown,no
55,management,0,no,no,cellular,aug,4,-1,unknown,yes
39,services,-971,yes,yes,unknown,may,2,-1,unknown,no
33,management,4570,no,no,cellular,aug,2,-1,unknown,yes
44,technician,250,no,no,telephone,mar,2,-1,unknown,yes
30,management,131,yes,no,cellular,aug,6,-1,unknown,yes
36,management,93,no,no,cellular,jul,2,182,failure,yes
37,admin.,22,yes,no,cellular,may,2,289,failure,no
32,technician,235,yes,no,telephone,aug,6,-1,unknown,no
39,unemployed,-114,yes,no,cellular,feb,1,-1,unknown,yes
48,management,0,no,yes,cellular,feb,8,-1,unknown,no
33,blue-collar,15341,no,no,cellular,apr,1,334,failure,no
45,unknown,356,no,no,cellular,aug,2,-1,unknown,no
34,services,190,yes,no,cellular,may,3,-1,unknown,no
56,entrepreneur,-124,yes,no,unknown,may,5,-1,unknown,no
25,management,2228,yes,no,cellular,jul,1,-1,unknown,yes
40,blue-collar,-60,yes,no,cellular,jul,1,-1,unknown,no
52,management,193,no,no,cellular,apr,1,269,failure,yes
30,management,376,yes,no,cellular,nov,1,-1,unknown,yes
41,unknown,1567,no,no,cellular,jul,2,-1,unknown,no
34,blue-collar,855,yes,no,cellular,jul,1,-1,unknown,yes
37,services,4151,yes,yes,cellular,jul,4,-1,unknown,yes
29,services,1008,yes,no,unknown,may,9,-1,unknown,no
51,entrepreneur,726,yes,yes,cellular,apr,2,-1,unknown,no
44,management,4119,yes,yes,telephone,nov,1,-1,unknown,yes
37,services,1,no,no,unknown,may,2,-1,unknown,no
49,services,2416,yes,no,cellular,apr,1,-1,unknown,yes
29,blue-collar,162,yes,no,cellular,jul,3,-1,unknown,no
43,management,1336,yes,yes,cellular,may,2,309,failure,no
57,entrepreneur,1153,yes,yes,unknown,jun,6,-1,unknown,no
61,management,267,no,no,cellular,apr,1,-1,unknown,yes
30,blue-collar,1131,yes,yes,cellular,nov,1,144,failure,no
46,management,624,no,no,cellular,sep,2,183,success,yes
35,management,304,yes,no,cellular,nov,2,-1,unknown,no
47,admin.,1358,yes,no,cellular,may,4,-1,unknown,no
53,services,36,yes,yes,unknown,jul,1,417,success,yes
30,admin.,8781,yes,no,cellular,nov,1,-1,unknown,yes
59,blue-collar,416,no,no,unknown,jun,3,-1,unknown,no
33,admin.,867,yes,no,cellular,apr,1,-1,unknown,no
43,services,774,no,no,cellular,jun,1,91,success,yes
26,blue-collar,409,yes,no,cellular,jul,2,-1,unknown,yes
54,blue-collar,1895,yes,no,cellular,apr,1,-1,unknown,no
37,technician,3943,no,no,cellular,apr,2,138,failure,yes
